AnimalID,Name,Species,BirthDate,Gender,Weight
137,Tawny eagle,Anitibyx armatus,9/6/1990,Female,289.83
138,Swallow-tail gull,Creagrus furcatus,7/22/2000,Female,77.62
139,Gray heron,Ardea cinerea,6/28/2001,Female,331.91
140,Ring-tailed possum,Pseudocheirus peregrinus,7/16/2024,Female,646.07
141,"Fox, arctic",Alopex lagopus,10/2/1995,Female,150.56
142,Black rhinoceros,Diceros bicornis,8/4/2005,Female,919.86
143,American woodcock,Scolopax minor,11/18/2020,Male,940.82
144,Canadian river otter,Lutra canadensis,12/9/2000,Female,595.64
145,"Caracara, yellow-headed",Milvago chimachima,9/18/2005,Male,748.29
146,"Deer, black-tailed",Odocoileus hemionus,5/1/2004,Female,893.75
147,"Cow, scottish highland",Bos taurus,5/8/2024,Female,151.11
148,Arctic hare,Lepus arcticus,4/2/2017,Female,389.58
149,"Skua, long-tailed",Stercorarius longicausus,3/16/2005,Male,91.59
150,Four-horned antelope,Tetracerus quadricornis,10/22/2009,Female,761.44
151,"Rhinoceros, white",Ceratotherium simum,7/24/2008,Male,805.07
152,Swallow-tail gull,Creagrus furcatus,11/15/2001,Female,874.38
153,"Rattlesnake, eastern diamondback",Crotalus adamanteus,8/15/2020,Female,299.34
154,Northern fur seal,Callorhinus ursinus,4/4/2004,Male,513.76
155,"Peacock, indian",Pavo cristatus,9/27/2023,Male,171.92
156,Galapagos sea lion,Zalophus californicus,4/17/1994,Male,939.54
157,"Albatross, galapagos",Diomedea irrorata,4/24/1992,Male,523.28
158,"Gazelle, grant's",Gazella granti,12/7/1993,Female,231.65
159,"Oryx, fringe-eared",Oryx gazella callotis,8/15/2015,Female,279.44
160,Squirrel glider,Petaurus norfolcensis,7/4/2004,Female,165.53
161,Hawk-headed parrot,Deroptyus accipitrinus,2/23/2020,Female,450.38
162,Black-tailed deer,Odocoileus hemionus,9/19/1995,Female,775.85
163,"Cat, kaffir",Felis silvestris lybica,10/12/2020,Female,722.78
164,Water moccasin,Agkistrodon piscivorus,11/19/1999,Female,218.66
165,"Shelduck, european",Tadorna tadorna,1/20/2022,Female,935.02
166,Buttermilk snake,Coluber constrictor,2/19/2022,Female,480.27
167,"Lemur, lesser mouse",Microcebus murinus,2/17/2014,Male,610.9
168,Marine iguana,Amblyrhynchus cristatus,11/12/2017,Male,163.58
169,"Seal, northern fur",Callorhinus ursinus,3/29/2007,Female,518.0
170,"Cormorant, large",Phalacrocorax carbo,10/31/2023,Female,370.12
171,Great cormorant,Phalacrocorax carbo,5/14/1992,Female,715.2
172,"Langur, hanuman",Semnopithecus entellus,5/29/2003,Male,3.5
173,"Dove, little brown",Streptopelia senegalensis,4/2/2004,Male,515.13
174,Burrowing owl,Speotyte cuniculata,4/18/2018,Male,439.33
175,Snowy sheathbill,Chionis alba,1/24/2007,Female,992.34
176,Carpet python,Morelia spilotes variegata,1/13/2022,Male,584.07
177,"Eagle, bald",Haliaeetus leucocephalus,6/2/2018,Male,272.16
178,"Phalarope, red-necked",Phalaropus lobatus,5/9/2017,Female,775.56
179,Malabar squirrel,Ratufa indica,3/1/2019,Male,149.65
180,Agouti,Dasyprocta leporina,11/18/2019,Female,521.67
181,"Rhinoceros, white",Ceratotherium simum,10/7/1990,Male,305.18
182,Western palm tanager (unidentified),unavailable,11/24/2015,Female,920.1
183,Puma,Felis concolor,11/15/2012,Female,529.26
184,"Lion, steller sea",Eumetopias jubatus,8/1/2016,Male,586.0
185,White rhinoceros,Ceratotherium simum,2/18/2015,Female,628.3
186,"Lion, mountain",Felis concolor,8/3/1995,Male,842.9
187,Scarlet macaw,Ara macao,1/12/1990,Female,902.93
188,American buffalo,Bison bison,5/1/2024,Female,879.29
189,White-rumped vulture,Gyps bengalensis,6/16/1993,Male,438.81
190,Monitor lizard (unidentified),Varanus sp.,6/17/2008,Male,584.81
191,Ovenbird,Seiurus aurocapillus,9/2/2015,Male,873.12
192,"Stork, jabiru",Ephippiorhynchus mycteria,11/10/2022,Male,207.27
193,Vine snake (unidentified),Oxybelis sp.,9/13/2023,Female,518.91
194,Raccoon dog,Nyctereutes procyonoides,4/9/2017,Male,663.63
195,Eastern fox squirrel,Sciurus niger,9/19/2005,Female,413.36
196,"Quail, gambel's",Callipepla gambelii,11/10/2016,Female,94.76
197,"Cormorant, king",Phalacrocorax albiventer,7/17/1995,Male,543.59
198,Fork-tailed drongo,Dicrurus adsimilis,5/11/2000,Female,562.51
199,Brindled gnu,Connochaetus taurinus,12/23/2008,Male,583.65
200,Western bearded dragon,Amphibolurus barbatus,9/13/2015,Female,586.83
201,Western patch-nosed snake,Salvadora hexalepis,5/31/2006,Male,687.76
202,Snake (unidentified),unavailable,5/14/1996,Male,529.84
203,Little grebe,Tachybaptus ruficollis,10/21/1991,Female,849.17
204,Small-toothed palm civet,Arctogalidia trivirgata,6/14/2012,Female,114.54
205,"Ferret, black-footed",Mustela nigripes,11/1/1992,Male,258.65
206,Mexican wolf,Canis lupus baileyi,6/14/2010,Female,152.31
207,American racer,Coluber constrictor,1/23/2016,Female,214.17
208,Blue and gold macaw,Ara ararauna,7/2/2006,Female,574.01
209,"Jackal, silver-backed",Canis mesomelas,1/9/2016,Male,638.19
210,"Constrictor, eastern boa",Acrantophis madagascariensis,2/1/2008,Male,804.13
211,Beisa oryx,Oryx gazella,4/16/1999,Male,337.24
212,Snow goose,Anser caerulescens,11/28/2011,Female,194.6
213,"Antelope, roan",Hippotragus equinus,1/5/2020,Female,855.07
214,Hudsonian godwit,Limosa haemastica,7/12/2000,Male,313.15
215,"Butterfly, canadian tiger swallowtail",Papilio canadensis,5/28/2012,Female,351.91
216,Stick insect,Leprocaulinus vipera,10/16/2005,Female,360.96
217,Barrows goldeneye,Bucephala clangula,3/29/1998,Male,286.4
218,Kori bustard,Choriotis kori,2/8/2000,Female,320.79
219,"Dragonfly, russian",Libellula quadrimaculata,1/4/2016,Male,289.63
220,Black-backed magpie,Gymnorhina tibicen,5/6/2014,Female,267.4
221,Snowy egret,Egretta thula,10/10/1999,Male,753.6
222,Grison,Galictis vittata,11/27/1991,Female,130.57
223,"Crane, black-crowned",Balearica pavonina,9/21/2020,Male,968.07
224,"Opossum, american virginia",Didelphis virginiana,12/22/2021,Female,367.58
225,"Macaw, red and blue",Ara chloroptera,6/20/1994,Female,157.54
226,Kaffir cat,Felis silvestris lybica,10/16/2007,Female,15.72
227,Native cat,Dasyurus viverrinus,3/2/2010,Female,668.44
228,Black curlew,Haematopus ater,12/31/1993,Female,925.04
229,"Tortoise, burmese brown mountain",Manouria emys,6/27/2011,Female,984.66
230,Bateleur eagle,Terathopius ecaudatus,2/25/2020,Female,177.24
231,Spotted wood sandpiper,Tringa glareola,4/17/2017,Male,496.12
232,"Heron, green-backed",Butorides striatus,1/12/2001,Female,379.26
233,Red-tailed cockatoo,Calyptorhynchus magnificus,6/16/2006,Female,23.62
234,Indian mynah,Acridotheres tristis,8/7/2008,Female,631.94
235,"Heron, grey",Ardea cinerea,8/6/2011,Female,441.79
236,American alligator,Alligator mississippiensis,1/3/2022,Female,372.86
237,Slender loris,Loris tardigratus,6/20/2022,Female,125.77
238,"Bandicoot, long-nosed",Perameles nasuta,10/31/1999,Female,354.86
239,Woodchuck,Marmota monax,11/11/1999,Male,641.53
240,Bateleur eagle,Terathopius ecaudatus,6/23/2019,Female,309.79
241,Steller sea lion,Eumetopias jubatus,1/8/2014,Female,490.75
242,"Legaan, Monitor (unidentified)",Varanus sp.,1/4/2021,Female,25.89
243,Kirk's dik dik,Madoqua kirkii,10/22/2008,Male,554.3
244,"Spider, wolf",Lycosa godeffroyi,7/20/2008,Male,773.59
245,Bare-faced go away bird,Lorythaixoides concolor,9/10/2000,Female,401.7
246,"Dolphin, striped",Stenella coeruleoalba,12/4/2001,Male,953.94
247,Red-headed woodpecker,Melanerpes erythrocephalus,2/3/1991,Male,611.04
248,"Lion, asian",Panthera leo persica,2/13/2023,Female,650.12
249,Black-crowned night heron,Nycticorax nycticorax,2/4/2017,Male,923.32
250,"Leopard, indian",Panthera pardus,3/17/1994,Female,500.45
251,Cape raven,Corvus albicollis,12/10/2016,Female,751.16
252,Blue-breasted cordon bleu,Uraeginthus angolensis,10/14/2018,Female,122.02
253,"White-eye, cape",Zosterops pallidus,10/2/2002,Female,2.73
254,"Pelican, great white",Pelecans onocratalus,4/22/2021,Female,514.34
255,"Crane, sandhill",Grus canadensis,11/21/2010,Male,85.43
256,"Jackal, silver-backed",Canis mesomelas,8/7/2015,Male,449.31
257,American marten,Martes americana,10/7/2005,Male,545.64
258,Asian water dragon,Physignathus cocincinus,6/14/1990,Female,804.33
259,Brown antechinus,Antechinus flavipes,3/2/1997,Female,253.63
260,Onager,Equus hemionus,5/7/2019,Female,321.15
261,American badger,Taxidea taxus,3/1/2019,Male,642.65
262,"Glider, squirrel",Petaurus norfolcensis,4/19/2016,Female,998.11
263,"Dunnart, fat-tailed",Smithopsis crassicaudata,12/8/2019,Female,442.54
264,Indian giant squirrel,Ratufa indica,10/19/2024,Male,707.04
265,"Otter, oriental short-clawed",Aonyx cinerea,3/13/2000,Female,209.83
266,African fish eagle,Haliaetus vocifer,3/29/2006,Male,194.45
267,Spotted-tailed quoll,Dasyurus maculatus,3/16/2019,Female,485.19
268,"Albatross, waved",Diomedea irrorata,1/5/2024,Male,841.55
269,Laughing kookaburra,Dacelo novaeguineae,5/14/2012,Male,25.42
270,Grant's gazelle,Gazella granti,12/11/2009,Female,10.86
271,Green-winged trumpeter,Psophia viridis,12/13/1999,Male,400.95
272,Nine-banded armadillo,Dasypus novemcinctus,4/18/2023,Female,36.65
273,"Alligator, american",Alligator mississippiensis,3/15/2020,Female,216.17
274,American buffalo,Bison bison,9/16/2005,Female,189.57
275,"Francolin, swainson's",Francolinus swainsonii,6/18/2009,Male,985.88
276,Golden eagle,Aquila chrysaetos,1/9/2023,Male,998.48
277,"Flamingo, lesser",Phoeniconaias minor,7/19/2012,Female,483.13
278,"Starling, superb",Lamprotornis superbus,8/30/2022,Female,314.68
279,Common boubou shrike,Laniarius ferrugineus,2/25/2010,Male,957.63
280,European shelduck,Tadorna tadorna,2/24/2005,Female,378.02
281,Red-tailed hawk,Buteo jamaicensis,6/24/2013,Male,826.19
282,"Lourie, grey",Lorythaixoides concolor,5/11/2012,Female,843.82
283,"Buffalo, american",Bison bison,3/13/2016,Male,184.06
284,"Marten, american",Martes americana,4/9/1990,Male,264.88
285,Steenbuck,Raphicerus campestris,3/5/2001,Female,957.8
286,Gemsbok,Oryx gazella,6/23/1998,Male,637.0
287,"Bulbul, african red-eyed",Pycnonotus nigricans,5/8/2007,Female,853.0
288,"Macaw, red and blue",Ara chloroptera,3/5/2012,Male,324.8
289,Leadbeateri's ground hornbill,Bucorvus leadbeateri,3/26/2016,Male,367.95
290,Red-headed woodpecker,Melanerpes erythrocephalus,1/17/2000,Male,233.34
291,Greater kudu,Tragelaphus strepsiceros,5/12/2008,Female,255.88
292,Blackbuck,Antilope cervicapra,2/24/1996,Female,152.82
293,"Dove, emerald-spotted wood",Turtur chalcospilos,3/7/1996,Female,573.74
294,Red-breasted cockatoo,Eolophus roseicapillus,5/24/2001,Male,269.83
295,Indian jackal,Canis aureus,1/29/2013,Female,100.81
296,"Chipmunk, least",Eutamias minimus,7/22/2002,Male,374.34
297,Northern elephant seal,Mirounga angustirostris,4/22/2021,Female,448.96
298,Blue-tongued lizard,Tiliqua scincoides,10/14/2015,Male,225.95
299,Red and blue macaw,Ara chloroptera,7/25/2009,Male,345.32
300,Indian peacock,Pavo cristatus,10/6/2017,Female,537.08
301,"Rhea, common",Rhea americana,6/14/2016,Male,89.09
302,"Turkey, wild",Meleagris gallopavo,6/9/2007,Female,435.88
303,"Bird, pied butcher",Cracticus nigroagularis,1/10/2023,Female,909.3
304,"Jackal, asiatic",Canis aureus,4/1/2000,Male,803.65
305,Little grebe,Tachybaptus ruficollis,11/17/1990,Female,105.79
306,Red and blue macaw,Ara chloroptera,3/8/2002,Female,63.79
307,"Beaver, european",Castor fiber,7/23/1991,Female,521.23
308,"Heron, grey",Ardea cinerea,10/23/2008,Female,926.66
309,"Wallaby, bennett's",Macropus rufogriseus,8/10/2006,Male,188.15
310,Radiated tortoise,Geochelone radiata,11/14/2007,Female,251.29
311,Two-toed sloth,Choloepus hoffmani,7/3/2003,Female,241.66
312,"Duck, mountain",Hymenolaimus malacorhynchus,12/20/2018,Female,831.05
313,"Sandpiper, spotted wood",Tringa glareola,3/26/2018,Female,102.82
314,Sulfur-crested cockatoo,Cacatua galerita,6/14/2003,Male,52.96
315,African jacana,Actophilornis africanus,5/8/2010,Male,560.35
316,Red-breasted cockatoo,Eolophus roseicapillus,3/29/2012,Male,224.74
317,"Pheasant, common",Phasianus colchicus,12/13/2013,Male,17.69
318,"Pintail, bahama",Anas bahamensis,11/3/1997,Female,528.1
319,"Fox, north american red",Vulpes vulpes,6/3/2008,Female,192.42
320,"Hornbill, yellow-billed",Tockus flavirostris,1/3/2012,Male,331.39
321,Griffon vulture,Gyps fulvus,11/10/2006,Male,903.61
322,Huron,Galictis vittata,9/3/1991,Male,914.6
323,Toddy cat,Paradoxurus hermaphroditus,9/11/2006,Female,919.55
324,Neotropic cormorant,Phalacrocorax brasilianus,7/2/2015,Female,938.42
325,"Screamer, crested",Chauna torquata,9/19/2002,Male,94.89
326,Mocking cliffchat,Thamnolaea cinnmomeiventris,9/2/2003,Female,154.87
327,"Shark, blue",Prionace glauca,4/5/2022,Female,678.42
328,Tasmanian devil,Sarcophilus harrisii,8/1/1992,Male,822.0
329,"Sloth, two-toed",Choloepus hoffmani,6/28/2020,Male,105.49
330,Eastern indigo snake,Drymarchon corias couperi,9/19/2003,Male,102.72
331,"Snake, eastern indigo",Drymarchon corias couperi,11/25/2022,Female,421.59
332,Australian spiny anteater,Tachyglossus aculeatus,5/16/2018,Male,649.08
333,Red-knobbed coot,Fulica cristata,6/30/2007,Female,218.24
334,"Mongoose, small indian",Herpestes javanicus,5/31/2011,Male,50.98
335,African lion,Panthera leo,6/27/2016,Male,889.8
336,Indian mynah,Acridotheres tristis,7/22/2004,Male,429.39
337,Crab-eating fox,Dusicyon thous,4/16/2020,Female,517.54
338,"Waxbill, blue",Uraeginthus angolensis,8/12/1992,Male,330.5
339,"Hawk, red-tailed",Buteo jamaicensis,2/3/2004,Female,667.07
340,"Nutcracker, clark's",Nucifraga columbiana,9/24/2013,Female,144.5
341,Euro wallaby,Macropus robustus,6/29/2005,Female,538.28
342,"Cormorant, great",Phalacrocorax carbo,8/6/2007,Female,846.91
343,Currasow (unidentified),Crax sp.,8/2/2008,Female,780.86
344,"Polecat, african",Ictonyx striatus,12/5/2023,Male,682.69
345,"Grouse, greater sage",Centrocercus urophasianus,10/23/2024,Female,233.08
346,Galapagos hawk,Buteo galapagoensis,6/3/1992,Female,285.08
347,Turkey vulture,Cathartes aura,3/25/2011,Male,676.52
348,Old world fruit bat (unidentified),unavailable,3/23/2021,Female,288.4
349,Indian leopard,Panthera pardus,6/5/1998,Female,386.13
350,Common wallaroo,Macropus robustus,4/13/1997,Female,464.57
351,"Stork, marabou",Leptoptilos crumeniferus,9/18/2015,Male,491.42
352,"Trotter, lily",Actophilornis africanus,1/10/2001,Male,537.45
353,"Gazelle, grant's",Gazella granti,5/24/2022,Female,683.43
354,"Eland, common",Taurotagus oryx,7/6/2017,Female,656.98
355,Yellow-billed hornbill,Tockus flavirostris,3/20/1997,Female,965.8
356,"Parakeet, rose-ringed",Psittacula krameri,11/27/1997,Female,845.17
357,"Bleu, red-cheeked cordon",Uraeginthus bengalus,10/22/2018,Male,983.49
358,"Goose, cape barren",Cereopsis novaehollandiae,1/26/2005,Female,696.16
359,"Waterbuck, common",Kobus defassa,12/16/2023,Female,516.79
360,"Brocket, brown",Mazama gouazoubira,3/6/2018,Male,568.49
361,Collared lizard,Crotaphytus collaris,12/22/2019,Male,194.12
362,King cormorant,Phalacrocorax albiventer,12/5/1994,Male,787.23
363,Four-striped grass mouse,Rhabdomys pumilio,3/19/1991,Male,57.69
364,Common wallaroo,Macropus robustus,11/30/1992,Male,764.13
365,Defassa waterbuck,Kobus defassa,7/7/2005,Male,341.11
366,"Coot, red-knobbed",Fulica cristata,9/24/1998,Female,52.47
367,Green-winged macaw,Ara chloroptera,11/29/2013,Male,415.34
368,"Drongo, fork-tailed",Dicrurus adsimilis,8/21/1991,Male,103.41
369,Little brown bat,Myotis lucifugus,5/26/2003,Male,279.77
370,"Grouse, sage",Centrocercus urophasianus,7/20/2024,Male,873.91
371,Grant's gazelle,Gazella granti,5/26/2009,Female,201.85
372,Fisher,Martes pennanti,7/24/1994,Male,22.28
373,Kongoni,Alcelaphus buselaphus cokii,7/19/1991,Male,853.63
374,"Magpie, australian",Gymnorhina tibicen,9/6/2018,Male,171.4
375,White-fronted capuchin,Cebus albifrons,9/15/1997,Male,902.18
376,"Shelduck, european",Tadorna tadorna,11/7/1994,Male,753.71
377,"Lion, steller sea",Eumetopias jubatus,11/11/2008,Male,943.84
378,"Cormorant, king",Phalacrocorax albiventer,1/10/2023,Male,149.21
379,Blue-footed booby,Sula nebouxii,8/11/2023,Female,998.01
380,Eastern grey kangaroo,Macropus giganteus,6/25/2001,Female,236.43
381,Galapagos penguin,Spheniscus mendiculus,5/14/1994,Female,0.82
382,"Deer, mule",Odocoileus hemionus,11/7/2007,Male,474.0
383,Guanaco,Lama guanicoe,7/10/2001,Female,15.35
384,Wild water buffalo,Bubalus arnee,12/6/2023,Female,372.63
385,White-winged dove,Zenaida asiatica,11/5/1995,Male,186.28
386,"Macaque, bonnet",Macaca radiata,8/16/1996,Male,139.36
387,Nilgai,Boselaphus tragocamelus,9/7/2016,Male,123.81
388,Brazilian tapir,Tapirus terrestris,10/29/2011,Female,648.59
389,African ground squirrel (unidentified),Xerus sp.,4/21/2008,Male,423.07
390,Southern right whale,Eubalaena australis,2/2/2009,Male,925.97
391,"Lizard, desert spiny",Sceloporus magister,6/19/2002,Male,620.95
